Programs,City,Name,Address,Telephone,Website,age,gender,number 
Youth Violence and Human Trafficking Prevention Program - Maanaji'iwin Project,Kenora,Treaty Three Police Services Board,"22 Homestake Road, Kenora, Ontario, P9N 3X7","<a href=""tel:1-807-548-5474"">1-807-548-5474</a>","<a href=""https://www.t3ps.ca/"">www.t3ps.ca</a>",23,Male,95
Student and Family Advocates Initiative,Ottawa,Britannia Woods Community House,"115 Ritchie <abbr title=""Street"">St</abbr> No. 9, Ottawa, Ontario, K2B 6G7","<a href=""tel:613-820-0853"">613-820-0853</a>","<a href=""https://britanniawoods.com/"">britanniawoods.com/</a>",41,Male,96
Student and Family Advocates Initiative,Ottawa,Centre for Resilience and Social Development,"1376 Bank <abbr title=""Street"">St</abbr> No. 100, Ottawa, Ontario, K1H 7Y3","<a href=""tel:613-878-1960"">613-878-1960</a>  or <a href=""tel:613-406-2833"">613-406-2833</a>","<a href=""http://thecrsd.org/"">thecrsd.org/</a>",47,Male,97
Student and Family Advocates Initiative,Toronto,Early Childhood Development Initiative,"1834 Weston Road, Toronto, Ontario, M9N 1V8","<a href=""tel:416-357-7211"">416-357-7211</a>","<a href=""https://www.ecdinitiative.org/"">www.ecdinitiative.org/</a>",42,Female,98
Student and Family Advocates Initiative,Hamilton,Empowerment Squared,"162 King William <abbr title=""Street"">St</abbr> Suite 103, Hamilton, Ontario, L8R 3N9","<a href=""tel:905-393-5370"">905-393-5370</a>","<a href=""https://empowermentsquared.org/"">empowermentsquared.org/</a>",28,Female,99
Student and Family Advocates Initiative,Mississauga,HM Youth Initiative,"1731 Wedmore Way, Mississauga, Ontario, L5J 2K1","<a href=""tel:647-280-1183"">647-280-1183</a>","<a href=""https://www.hmyouthfoundation.com/"">www.hmyouthfoundation.com/</a>",42,Female,100
Student and Family Advocates Initiative,North York,Parents of Black Children,"5000 Yonge <abbr title=""Street"">St</abbr> suite 1901 North York, Ontario, M2N 7E9","<a href=""tel:1-833-762-2226"">1-833-762-2226</a>","<a href=""https://parentsofblackchildren.org/"">parentsofblackchildren.org/</a>",36,Male,101
Student and Family Advocates Initiative,Mississauga,"Patches 360 <abbr title=""incorporated"">Inc.</abbr>","600 Matheson <abbr title=""boulevard"">Blvd</abbr> <abbr title=""west"">W</abbr> Unit 5, Mississauga, Ontario, L5R 4C","<a href=""tel:416-640-8860"">416-640-8860</a>","<a href=""https://patches360.com/"">patches360.com</a>",36,Male,102
Student and Family Advocates Initiative,Brampton,Roots Community Services,"36 Queen Street East, Lower Level, Brampton, Ontario, L6V 1A2","<a href=""tel:647-812-8545"">647-812-8545</a>","<a href=""https://rootscs.org/"">rootscs.org</a>",25,Female,103
Student and Family Advocates Initiative,Oakville,Roots Community Services,"2302 Bridge Road, Oakville, Ontario, L6L 2G6","<a href=""tel:905-455-6789"">905-455-6789 <abbr title=""extension"">ext.</abbr>133</a>","<a href=""https://rootscs.org/"">rootscs.org</a>",52,Male,104
Student and Family Advocates Initiative,Toronto,"Success Beyond Limits Education Program <abbr title=""incorporated"">Inc.</abbr>","755 Oakdale Rd, Toronto, Ontario, M3N 1W7","<a href=""tel:416-395-3320"">416-395-3320 <abbr title=""extension"">ext.</abbr>20215</a>","<a href=""https://www.successbl.com/"">www.successbl.com</a>",45,Female,105
Student and Family Advocates Initiative,Toronto,Women’s Health in Women’s Hands,"2 Carlton <abbr title=""Street"">St</abbr> #500, Toronto, Ontario M5B 1J3","<a href=""tel:416-593-7655"">416-593-7655 <abbr title=""extension"">ext.</abbr>4867</a>","<a href=""https://www.whiwh.com/"">www.whiwh.com</a>",24,Male,106
